frame.time_epoch,frame.len,wlan.fc.type,wlan.fc.subtype,wlan.ta,wlan.ra,wlan.sa,wlan.da,wlan.bssid,wlan.qos.tid,radiotap.dbm_antsignal,ip.src,ip.dst,tcp.srcport,tcp.dstport
1772711992.236694242,166,2,8,c0:c9:e3:ba:dc:4b,8e:52:a6:ca:4d:2a,c0:c9:e3:ba:dc:4b,8e:52:a6:ca:4d:2a,c0:c9:e3:ba:dc:4b,0,-86,-86,-90,,,,
1772711992.307761017,166,2,8,c0:c9:e3:ba:dc:4b,8e:52:a6:ca:4d:2a,c0:c9:e3:ba:dc:4b,8e:52:a6:ca:4d:2a,c0:c9:e3:ba:dc:4b,0,-87,-87,-88,,,,
1772711992.342400264,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-89,,,,
1772711995.468539224,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-87,-87,-92,,,,
1772711995.491202301,88,1,9,c0:c9:e3:ba:dc:4b,8e:52:a6:ca:4d:2a,,,,,-88,-88,-89,,,,
1772711995.577620450,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-90,-90,-93,,,,
1772711995.638599711,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-89,-89,-94,,,,
1772711995.638705347,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-91,,,,
1772711995.642536719,70,1,12,,8e:52:a6:ca:4d:2a,,,,,-87,-87,-91,,,,
1772711995.725603817,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-92,,,,
1772711996.148852239,88,1,9,c0:c9:e3:ba:dc:4b,8e:52:a6:ca:4d:2a,,,,,-88,-88,-88,,,,
1772711996.150077660,76,1,11,c0:c9:e3:ba:dc:4b,8e:52:a6:ca:4d:2a,,,,,-87,-87,-94,,,,
1772711996.152832560,76,1,11,c0:c9:e3:ba:dc:4b,8e:52:a6:ca:4d:2a,,,,,-89,-89,-91,,,,
1772711996.161947766,210,0,4,f6:87:04:b7:87:d2,ff:ff:ff:ff:ff:ff,f6:87:04:b7:87:d2,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-84,-91,-84,,,,
1772711996.536842284,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772711997.214655060,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-87,-87,-90,,,,
1772711997.218101750,70,1,12,,8e:52:a6:ca:4d:2a,,,,,-87,-87,-90,,,,
1772711997.218587803,70,1,12,,8e:52:a6:ca:4d:2a,,,,,-87,-87,-92,,,,
1772711997.274588011,114,0,4,bc:10:2f:d0:95:b8,ff:ff:ff:ff:ff:ff,bc:10:2f:d0:95:b8,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-83,-83,-87,,,,
1772711997.275600039,114,0,4,bc:10:2f:d0:95:b8,ff:ff:ff:ff:ff:ff,bc:10:2f:d0:95:b8,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-83,-83,-88,,,,
1772711999.509332733,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772711999.590493498,70,1,12,,8e:52:a6:ca:4d:2a,,,,,-87,-87,-92,,,,
1772711999.590645352,88,1,9,c0:c9:e3:ba:dc:4b,8e:52:a6:ca:4d:2a,,,,,-88,-88,-92,,,,
1772711999.590909341,70,1,12,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-89,,,,
1772712000.005133250,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-85,-85,-88,,,,
1772712000.005734799,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-90,,,,
1772712000.276024811,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-91,,,,
1772712000.276087416,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-91,,,,
1772712000.276211961,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-90,,,,
1772712000.382510474,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-89,-89,-92,,,,
1772712000.522579563,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-90,,,,
1772712000.522696480,70,1,12,,8e:52:a6:ca:4d:2a,,,,,-87,-87,-91,,,,
1772712000.530356524,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-69,-70,-69,,,,
1772712000.914012332,176,0,4,3e:dc:ae:9a:32:51,ff:ff:ff:ff:ff:ff,3e:dc:ae:9a:32:51,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-71,-71,-84,,,,
1772712000.916812835,176,0,4,3e:dc:ae:9a:32:51,ff:ff:ff:ff:ff:ff,3e:dc:ae:9a:32:51,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-71,-71,-83,,,,
1772712000.972742561,176,0,4,4a:64:45:aa:1a:01,ff:ff:ff:ff:ff:ff,4a:64:45:aa:1a:01,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-71,-71,-82,,,,
1772712000.974001951,176,0,4,4a:64:45:aa:1a:01,ff:ff:ff:ff:ff:ff,4a:64:45:aa:1a:01,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-71,-71,-82,,,,
1772712000.978529036,70,1,13,,dc:2c:6e:f6:03:d9,,,,,-72,-72,-83,,,,
1772712001.554428081,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772712002.578248633,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772712003.499899459,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-69,-69,-69,,,,
1772712003.889416694,80,1,8,58:8c:81:5d:48:c0,68:02:b8:42:67:82,,,,,-61,-64,-61,,,,
1772712003.890692237,80,1,8,58:8c:81:5d:48:c0,68:02:b8:42:67:82,,,,,-60,-64,-60,,,,
1772712004.523920200,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-69,-69,-69,,,,
1772712005.201061774,321,0,8,c0:c9:e3:ba:dc:4b,ff:ff:ff:ff:ff:ff,c0:c9:e3:ba:dc:4b,ff:ff:ff:ff:ff:ff,c0:c9:e3:ba:dc:4b,,-86,-86,-88,,,,
1772712005.320628485,70,1,12,,8e:52:a6:ca:4d:2a,,,,,-89,-89,-90,,,,
1772712005.320790720,88,1,9,c0:c9:e3:ba:dc:4b,8e:52:a6:ca:4d:2a,,,,,-87,-87,-92,,,,
1772712005.503141782,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-91,,,,
1772712005.503314147,70,1,12,,8e:52:a6:ca:4d:2a,,,,,-90,-90,-91,,,,
1772712005.519481946,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-89,-89,-91,,,,
1772712005.548030076,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772712005.605632395,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-89,-89,-91,,,,
1772712006.265426754,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-91,,,,
1772712006.521457973,176,0,4,6a:a9:65:4e:81:1f,ff:ff:ff:ff:ff:ff,6a:a9:65:4e:81:1f,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-78,-78,-78,,,,
1772712006.576790553,176,0,4,6a:a9:65:4e:81:1f,ff:ff:ff:ff:ff:ff,6a:a9:65:4e:81:1f,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-78,-78,-78,,,,
1772712006.755302023,176,0,4,5e:b1:1e:e7:84:d5,ff:ff:ff:ff:ff:ff,5e:b1:1e:e7:84:d5,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-79,-81,-79,,,,
1772712006.759212615,70,1,13,,dc:2c:6e:f6:03:d9,,,,,-81,-82,-81,,,,
1772712006.763081944,70,1,13,,dc:2c:6e:f6:03:d9,,,,,-80,-80,-81,,,,
1772712006.764497524,70,1,13,,ac:64:62:6b:70:7d,,,,,-79,-81,-79,,,,
1772712007.493502032,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-69,-70,-69,,,,
1772712007.639082050,114,0,4,bc:10:2f:d0:95:b8,ff:ff:ff:ff:ff:ff,bc:10:2f:d0:95:b8,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-84,-84,-90,,,,
1772712007.641092888,114,0,4,bc:10:2f:d0:95:b8,ff:ff:ff:ff:ff:ff,bc:10:2f:d0:95:b8,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-83,-83,-83,,,,
1772712007.808867153,643,2,0,68:02:b8:42:67:82,01:00:5e:7f:ff:fa,68:02:b8:42:72:51,01:00:5e:7f:ff:fa,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772712007.906343015,580,2,0,68:02:b8:42:67:82,01:00:5e:7f:ff:fa,68:02:b8:42:72:51,01:00:5e:7f:ff:fa,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772712008.008922667,580,2,0,68:02:b8:42:67:82,01:00:5e:7f:ff:fa,68:02:b8:42:72:51,01:00:5e:7f:ff:fa,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772712008.013629474,619,2,0,68:02:b8:42:67:82,01:00:5e:7f:ff:fa,68:02:b8:42:72:51,01:00:5e:7f:ff:fa,68:02:b8:42:67:82,,-69,-69,-69,,,,
1772712008.116124629,633,2,0,68:02:b8:42:67:82,01:00:5e:7f:ff:fa,68:02:b8:42:72:51,01:00:5e:7f:ff:fa,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772712008.256265514,70,1,12,,8e:52:a6:ca:4d:2a,,,,,-86,-86,-89,,,,
1772712008.256470397,88,1,9,c0:c9:e3:ba:dc:4b,8e:52:a6:ca:4d:2a,,,,,-87,-87,-88,,,,
1772712008.263454162,70,1,13,,8e:52:a6:ca:4d:2a,,,,,-88,-88,-91,,,,
1772712008.419145123,667,2,0,68:02:b8:42:67:82,33:33:00:00:00:0c,68:02:b8:42:72:51,33:33:00:00:00:0c,68:02:b8:42:67:82,,-69,-69,-69,,,,
1772712008.423900840,608,2,0,68:02:b8:42:67:82,33:33:00:00:00:0c,68:02:b8:42:72:51,33:33:00:00:00:0c,68:02:b8:42:67:82,,-69,-69,-69,,,,
1772712008.521423883,647,2,0,68:02:b8:42:67:82,33:33:00:00:00:0c,68:02:b8:42:72:51,33:33:00:00:00:0c,68:02:b8:42:67:82,,-69,-69,-69,,,,
