frame.time_epoch,frame.len,wlan.fc.type,wlan.fc.subtype,wlan.ta,wlan.ra,wlan.sa,wlan.da,wlan.bssid,wlan.qos.tid,radiotap.dbm_antsignal,ip.src,ip.dst,tcp.srcport,tcp.dstport
1772703838.805408450,173,0,4,6a:4c:7a:d9:2f:f4,ff:ff:ff:ff:ff:ff,6a:4c:7a:d9:2f:f4,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-53,-54,-53,,,,
1772703840.675442931,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-69,-69,-69,,,,
1772703840.981016889,330,0,8,68:02:b8:42:67:82,ff:ff:ff:ff:ff:ff,68:02:b8:42:67:82,ff:ff:ff:ff:ff:ff,68:02:b8:42:67:82,,-69,-72,-69,,,,
1772703842.723488482,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703845.506863873,321,0,8,c0:c9:e3:ba:dc:4b,ff:ff:ff:ff:ff:ff,c0:c9:e3:ba:dc:4b,ff:ff:ff:ff:ff:ff,c0:c9:e3:ba:dc:4b,,-87,-87,-89,,,,
1772703846.716981935,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703847.541822429,277,2,0,68:02:b8:42:67:82,33:33:00:00:00:fb,72:34:fd:35:7b:41,33:33:00:00:00:fb,68:02:b8:42:67:82,,-69,-69,-69,,,,
1772703852.758457505,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-69,-70,-69,,,,
1772703855.728208398,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703858.393598597,566,2,0,68:02:b8:42:67:82,ff:ff:ff:ff:ff:ff,86:38:a7:69:e3:d4,ff:ff:ff:ff:ff:ff,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703858.697693342,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-69,-70,-69,,,,
1772703860.745804038,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-69,-70,-69,,,,
1772703862.282327364,221,2,0,68:02:b8:42:67:82,01:00:5e:00:00:fb,72:34:fd:35:7b:41,01:00:5e:00:00:fb,68:02:b8:42:67:82,,-70,-71,-70,,,,
1772703862.284102355,241,2,0,68:02:b8:42:67:82,33:33:00:00:00:fb,72:34:fd:35:7b:41,33:33:00:00:00:fb,68:02:b8:42:67:82,,-71,-72,-71,,,,
1772703864.739419680,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703865.763526911,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-71,-70,,,,
1772703866.684998080,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-71,-70,,,,
1772703867.811538596,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-69,-70,-69,,,,
1772703868.733052181,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703869.247153774,235,2,0,68:02:b8:42:67:82,33:33:00:00:00:fb,86:38:a7:69:e3:d4,33:33:00:00:00:fb,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703870.069967610,455,2,0,68:02:b8:42:67:82,33:33:00:00:00:fb,72:34:fd:35:7b:41,33:33:00:00:00:fb,68:02:b8:42:67:82,,-69,-70,-69,,,,
1772703870.679802256,334,2,0,68:02:b8:42:67:82,01:00:5e:00:00:fb,72:34:fd:35:7b:41,01:00:5e:00:00:fb,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703872.525615631,422,2,0,68:02:b8:42:67:82,01:00:5e:00:00:fb,72:34:fd:35:7b:41,01:00:5e:00:00:fb,68:02:b8:42:67:82,,-71,-71,-71,,,,
1772703872.529122538,442,2,0,68:02:b8:42:67:82,33:33:00:00:00:fb,72:34:fd:35:7b:41,33:33:00:00:00:fb,68:02:b8:42:67:82,,-70,-72,-70,,,,
1772703879.997353778,226,2,0,68:02:b8:42:67:82,ff:ff:ff:ff:ff:ff,86:38:a7:69:e3:d4,ff:ff:ff:ff:ff:ff,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703880.407264611,252,2,0,68:02:b8:42:67:82,ff:ff:ff:ff:ff:ff,86:38:a7:69:e3:d4,ff:ff:ff:ff:ff:ff,68:02:b8:42:67:82,,-70,-71,-70,,,,
1772703881.738099376,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703886.755924627,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703887.779671824,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703888.606191528,566,2,0,68:02:b8:42:67:82,ff:ff:ff:ff:ff:ff,86:38:a7:69:e3:d4,ff:ff:ff:ff:ff:ff,68:02:b8:42:67:82,,-71,-71,-71,,,,
1772703894.853756105,608,2,0,68:02:b8:42:67:82,33:33:00:00:00:0c,68:02:b8:42:72:51,33:33:00:00:00:0c,68:02:b8:42:67:82,,-71,-71,-71,,,,
1772703894.956280401,608,2,0,68:02:b8:42:67:82,33:33:00:00:00:0c,68:02:b8:42:72:51,33:33:00:00:00:0c,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703898.736594996,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703900.784752949,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-71,-70,,,,
1772703901.399281866,184,2,0,68:02:b8:42:67:82,ff:ff:ff:ff:ff:ff,86:38:a7:69:e3:d4,ff:ff:ff:ff:ff:ff,68:02:b8:42:67:82,,-71,-71,-71,,,,
1772703904.777991843,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-71,,,,
1772703907.747825939,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-71,-71,-71,,,,
1772703909.795763846,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703910.820072984,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-71,-71,-71,,,,
1772703911.843814642,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-71,-71,-71,,,,
1772703913.789582039,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703914.813664681,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-71,-70,,,,
1772703915.837513555,190,2,0,68:02:b8:42:67:82,01:00:5e:00:00:01,86:38:a7:69:e3:d4,01:00:5e:00:00:01,68:02:b8:42:67:82,,-70,-70,-70,,,,
1772703916.043086903,296,2,0,68:02:b8:42:67:82,33:33:00:00:00:01,68:02:b8:42:72:51,33:33:00:00:00:01,68:02:b8:42:67:82,,-71,-71,-71,,,,
1772703916.348065375,330,0,8,68:02:b8:42:67:82,ff:ff:ff:ff:ff:ff,68:02:b8:42:67:82,ff:ff:ff:ff:ff:ff,68:02:b8:42:67:82,,-68,-71,-68,,,,
